timestamp,label,content
"
"2023-06-06 07:52:45.335282,start_01,
"
"2023-06-06 09:00:31.621040,start_02,161
"
"2023-06-06 09:00:31.637544,start_03,
"
"2023-06-06 09:02:39.235724,lat_instr_01,
"
"2023-06-06 09:03:23.505186,lat_rating_n,5
"
"2023-06-06 09:03:45.845449,lat_rating_p,9
"
"2023-06-06 09:03:45.861936,fixation_01,
"
"2023-06-06 09:03:46.010958,fixation_01,
"
"2023-06-06 09:03:48.865836,stimulus_01,Freude
"
"2023-06-06 09:03:53.874221,lat_rating_start_01,
"
"2023-06-06 09:03:58.394054,lat_rating_n_01,0
"
"2023-06-06 09:04:04.743839,lat_rating_p_01,10
"
"2023-06-06 09:04:04.758867,fixation_02,
"
"2023-06-06 09:04:07.763280,stimulus_02,Zukunft
"
"2023-06-06 09:04:12.754645,lat_rating_start_02,
"
"2023-06-06 09:04:16.359187,lat_rating_n_02,0
"
"2023-06-06 09:04:21.127951,lat_rating_p_02,9
"
"2023-06-06 09:04:21.143437,fixation_03,
"
"2023-06-06 09:04:24.148567,stimulus_03,Selfie
"
"2023-06-06 09:04:29.149145,lat_rating_start_03,
"
"2023-06-06 09:04:32.520344,lat_rating_n_03,0
"
"2023-06-06 09:04:34.454346,lat_rating_p_03,5
"
"2023-06-06 09:04:34.469923,fixation_04,
"
"2023-06-06 09:04:37.474913,stimulus_04,die Welt
"
"2023-06-06 09:04:42.466636,lat_rating_start_04,
"
"2023-06-06 09:04:52.622417,lat_rating_n_04,0
"
"2023-06-06 09:04:59.156688,lat_rating_p_04,8
"
"2023-06-06 09:04:59.172406,fixation_05,
"
"2023-06-06 09:05:02.160668,stimulus_05,die Welt
"
"2023-06-06 09:05:07.169264,lat_rating_start_05,
"
"2023-06-06 09:05:11.253909,lat_rating_n_05,0
"
"2023-06-06 09:05:14.419576,lat_rating_p_05,8
"
"2023-06-06 09:05:14.434770,fixation_06,
"
"2023-06-06 09:05:17.439687,stimulus_06,Ich
"
"2023-06-06 09:05:22.431207,lat_rating_start_06,
"
"2023-06-06 09:05:25.400277,lat_rating_n_06,0
"
"2023-06-06 09:05:30.318926,lat_rating_p_06,10
"
"2023-06-06 09:05:30.334526,fixation_07,
"
"2023-06-06 09:05:33.322713,stimulus_07,Selfie
"
"2023-06-06 09:05:38.339282,lat_rating_start_07,
"
"2023-06-06 09:05:42.625352,lat_rating_n_07,0
"
"2023-06-06 09:05:46.840966,lat_rating_p_07,10
"
"2023-06-06 09:05:46.856420,fixation_08,
"
"2023-06-06 09:05:49.861373,stimulus_08,Freude
"
"2023-06-06 09:05:54.852546,lat_rating_start_08,
"
"2023-06-06 09:05:57.752434,lat_rating_n_08,0
"
"2023-06-06 09:06:00.917686,lat_rating_p_08,10
"
"2023-06-06 09:06:00.933156,fixation_09,
"
"2023-06-06 09:06:03.937865,stimulus_09,Zukunft
"
"2023-06-06 09:06:08.929592,lat_rating_start_09,
"
"2023-06-06 09:06:10.415962,lat_rating_n_09,0
"
"2023-06-06 09:06:12.767446,lat_rating_p_09,9
"
"2023-06-06 09:06:12.782813,fixation_10,
"
"2023-06-06 09:06:15.787940,stimulus_10,hoffnungslos
"
"2023-06-06 09:06:20.777254,lat_rating_start_10,
"
"2023-06-06 09:06:23.678163,lat_rating_n_10,0
"
"2023-06-06 09:06:27.276488,lat_rating_p_10,9
"
"2023-06-06 09:06:27.292155,fixation_11,
"
"2023-06-06 09:06:30.297120,stimulus_11,Ich
"
"2023-06-06 09:06:35.288916,lat_rating_start_11,
"
"2023-06-06 09:06:37.823373,lat_rating_n_11,0
"
"2023-06-06 09:06:39.705892,lat_rating_p_11,10
"
"2023-06-06 09:06:39.721333,fixation_12,
"
"2023-06-06 09:06:42.725685,stimulus_12,hoffnungslos
"
"2023-06-06 09:06:47.716792,lat_rating_start_12,
"
"2023-06-06 09:06:50.418057,lat_rating_n_12,0
"
"2023-06-06 09:06:57.132449,lat_rating_p_12,9
"
"2023-06-06 09:06:57.149010,lat_end,
"
"2023-06-06 09:07:16.147629,ei_instr_1,
"
"2023-06-06 09:07:49.087217,ei_01,"Ich wünschte ich könnte ich selbst sein, aber niemand mag mich, wenn ich es bin."
"
"2023-06-06 09:08:02.192933,ei_02,Ich bin es Leid es immer weiter zu versuchen.
